Time,SecL,RPM,MAP,MAPxRPM,TPS,AFR,Lambda,IAT,CLT,Engine,DFCO,Gego,Gair,Gbattery,Gwarm,Gbaro,Gammae,Accel Enrich,VE (Current,VE1,VE2,PW,PW2,PW3,PW4,AFR Target,Lambda Target,Duty Cycle,Duty Cycle (Staging,TPS DOT,Advance (Current,Dwell,Dwell (Measured,Battery V,rpm/s,Boost PSI,Boost cut,Hard Launch,Hard Limiter,Idle Control,IAC value,Baro Pressure,Fan,Sync Loss #,Loops/s,Loops/rev,Aux0,Aux1,Aux2,Aux3,Aux4,Aux5,Aux6,Aux7,Aux8,Aux9,Aux10,Aux11,Aux12,Aux13,Aux14,Aux15,Advance 1,Advance 2,FuelLoad,IgnitionLoad,Sync status,Engine Prot. RPM,Engine Prot. CLT,Trip Meter Miles,Odometer Miles,Vehicle Speed,Power,Torque
17.064,43,213,91,19383.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,5.969,5.969,0.000,0.000,11.400,1.267,1.1,0.0,0,5,4.500,4.529,12.9,-60,-1.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,91.0,91.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.132,43,194,85,16490.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,41,41,0,4.792,4.792,0.000,0.000,11.400,1.267,0.8,0.0,0,5,4.500,4.529,12.9,250,-2.2,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,1010.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,85.0,85.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.199,43,180,90,16200.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,5.926,5.926,0.000,0.000,11.400,1.267,0.9,0.0,0,5,4.500,4.513,12.9,250,-1.5,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,1088.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,90.0,90.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.266,43,235,85,19975.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,41,41,0,4.792,4.792,0.000,0.000,11.400,1.267,0.9,0.0,0,5,4.500,4.513,12.9,-100,-2.2,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,833.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,85.0,85.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.333,43,174,90,15660.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,5.926,5.926,0.000,0.000,11.400,1.267,0.9,0.0,0,5,4.500,4.512,12.9,-150,-1.5,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,1126.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,90.0,90.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.397,43,293,86,25198.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,42,42,0,4.975,4.975,0.000,0.000,11.400,1.267,1.2,0.0,0,5,4.500,4.512,12.9,-150,-2.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,668.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,86.0,86.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.462,43,195,91,17745.0,1.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,5.969,5.969,0.000,0.000,11.400,1.267,1.0,0.0,0,5,4.500,4.561,12.9,290,-1.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,1004.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,91.0,91.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.529,44,245,93,22785.0,10.5,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,138,50,50,0,8.738,8.738,0.000,0.000,11.400,1.267,1.8,0.0,150,5,4.500,4.561,12.9,380,-1.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,303.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,93.0,93.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.597,44,194,100,19400.0,21.0,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,140,51,51,0,9.419,9.419,0.000,0.000,11.400,1.267,1.5,0.0,165,5,4.500,4.517,12.9,380,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,383.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,100.0,100.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
17.665,44,229,97,22213.0,31.0,11.400,1.267,37.0,33.0,26,0.0,100,100,100.0,126,100,158,140,51,51,0,9.244,9.244,0.000,0.000,11.400,1.267,1.8,0.0,135,5,4.500,4.517,12.9,-400,-0.4,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,1241,325.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,97.0,97.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
